experiment,feature_set,model,n_features,n_rows,n_splits,MAE,RMSE,R2,Spearman,Bias,mode,log_target,base_model,residual_model,n_base_features,n_residual_features
direct_tabular_plus_top50_source_hgb_medium_raw,tabular_plus_top50_source,hgb_medium,62,281,5,8.090598540832973,13.101291305779288,0.3638478885476648,0.5947187097751192,0.4173609028611986,direct,False,,,,
direct_top50_source_hgb_medium_log1p,top50_source,hgb_medium,50,281,5,7.538722417023082,13.105639634519083,0.3634255397125383,0.5428083817613948,-1.831202961752181,direct,True,,,,
direct_top50_source_hgb_slow_log1p,top50_source,hgb_slow,50,281,5,7.60326932610487,13.115376474360689,0.36247930187505095,0.5365004926266923,-1.7289965421875129,direct,True,,,,
direct_top50_source_et_leaf2_log1p,top50_source,et_leaf2,50,281,5,6.986086119307244,13.122012088957106,0.3618340421966596,0.6542297282680787,-2.223307491087818,direct,True,,,,
direct_tabular_plus_top50_source_hgb_slow_raw,tabular_plus_top50_source,hgb_slow,62,281,5,8.082518734738859,13.136986396756837,0.3603767129505472,0.6015051541931227,0.414597364801199,direct,False,,,,
direct_top30_source_hgb_slow_log1p,top30_source,hgb_slow,30,281,5,7.346801236103676,13.140230166645903,0.3600608038297327,0.5368953103466899,-1.9725591751875904,direct,True,,,,
direct_raw_source_et_leaf2_raw,raw_source,et_leaf2,137,281,5,7.6877009593448635,13.14939531433881,0.35916779318939485,0.6259915725944684,-0.013608659186245884,direct,False,,,,
direct_tabular_plus_top15_source_ridge_log1p,tabular_plus_top15_source,ridge,27,281,5,7.458437882930156,13.161558604680636,0.35798169557038007,0.6082596891258963,-1.8812710599602762,direct,True,,,,
direct_top30_source_rf_leaf2_raw,top30_source,rf_leaf2,30,281,5,7.88662536120598,13.164042486472162,0.3577393461493529,0.5919302071842004,0.32245251741477754,direct,False,,,,
direct_top30_source_et_leaf3_log1p,top30_source,et_leaf3,30,281,5,7.094863006684471,13.17465848384146,0.35670304036942246,0.621779497607613,-2.344339816484322,direct,True,,,,
direct_top30_source_rf_leaf2_log1p,top30_source,rf_leaf2,30,281,5,7.1455422200330565,13.19291490186429,0.35491894321196016,0.6183899896473866,-2.077496735989903,direct,True,,,,
direct_top20_source_rf_leaf2_log1p,top20_source,rf_leaf2,20,281,5,7.241786681614346,13.231522233565515,0.3511379290969405,0.608510906466213,-2.0718010629734054,direct,True,,,,
direct_tabular_plus_top10_source_hgb_slow_raw,tabular_plus_top10_source,hgb_slow,22,281,5,8.15278363585208,13.248977074540653,0.3494248601890302,0.5538724053261798,-0.06794098942398895,direct,False,,,,
direct_raw_source_hgb_slow_raw,raw_source,hgb_slow,137,281,5,8.295072040875235,13.25606337718939,0.3487287452812874,0.5243011659249561,-0.09363035964616943,direct,False,,,,
direct_tabular_plus_all_source_hgb_slow_raw,tabular_plus_all_source,hgb_slow,188,281,5,8.38435633233647,13.276085667113238,0.34675986667275494,0.5709510108275914,0.21088524517947219,direct,False,,,,
direct_raw_source_hgb_medium_raw,raw_source,hgb_medium,137,281,5,8.350220629857448,13.284804033474922,0.34590162321853923,0.5118227625882629,-0.08225024929847043,direct,False,,,,
direct_top15_source_rf_leaf2_log1p,top15_source,rf_leaf2,15,281,5,7.16820968839969,13.286247671482545,0.3457594558848216,0.6147008827614353,-2.1868420471336436,direct,True,,,,
direct_raw_source_et_leaf3_raw,raw_source,et_leaf3,137,281,5,7.79067882845016,13.287914191097117,0.3455953202905009,0.6163077346245288,-0.021446164409754578,direct,False,,,,
direct_tabular_plus_top10_source_ridge_log1p,tabular_plus_top10_source,ridge,22,281,5,7.550889383347599,13.295482478623578,0.3448496602652845,0.608680461659942,-1.9535891521705717,direct,True,,,,
direct_tabular_ridge_log1p,tabular,ridge,12,281,5,7.456330317470994,13.297072816138975,0.3446929194355841,0.5872205215848737,-2.0613514140930613,direct,True,,,,
direct_tabular_plus_top10_source_hgb_medium_raw,tabular_plus_top10_source,hgb_medium,22,281,5,8.25980179848378,13.313384575258594,0.34308417926854395,0.5480091726249067,-0.10464376073646797,direct,False,,,,
direct_top30_source_rf_leaf3_raw,top30_source,rf_leaf3,30,281,5,7.9661442856616445,13.317601581091001,0.34266795804934835,0.5791132232306596,0.3388554442240806,direct,False,,,,
direct_top20_source_et_leaf3_log1p,top20_source,et_leaf3,20,281,5,7.220897151197724,13.31872657203957,0.3425568984374744,0.5935283967801087,-2.3395124801612006,direct,True,,,,
direct_top15_source_rf_leaf3_raw,top15_source,rf_leaf3,15,281,5,7.896315214465664,13.318901503188993,0.3425396283130251,0.5904109593307024,0.1447700976281275,direct,False,,,,
direct_tabular_plus_all_source_hgb_medium_raw,tabular_plus_all_source,hgb_medium,188,281,5,8.480027910119167,13.327738007161399,0.34166694697238464,0.5625052731776438,0.23391106874926934,direct,False,,,,
direct_top30_source_rf_leaf3_log1p,top30_source,rf_leaf3,30,281,5,7.180490139105136,13.32873083810406,0.34156886014470644,0.6171958261322976,-2.1709036991126727,direct,True,,,,
direct_top50_source_et_leaf3_log1p,top50_source,et_leaf3,50,281,5,7.076955636121388,13.342645388202648,0.3401934020583761,0.6435312497485255,-2.287332676054324,direct,True,,,,
direct_top20_source_rf_leaf2_raw,top20_source,rf_leaf2,20,281,5,7.952737672360549,13.370457044722178,0.3374399092083382,0.5841912281252598,0.2996337219719735,direct,False,,,,
direct_top50_source_rf_leaf2_log1p,top50_source,rf_leaf2,50,281,5,7.163166545624333,13.389506732242074,0.3355505865027606,0.6279408174243437,-2.0641840434812244,direct,True,,,,
direct_top15_source_rf_leaf3_log1p,top15_source,rf_leaf3,15,281,5,7.2172425027675216,13.392794134949428,0.33522427411625455,0.6145894883341212,-2.2504777520700054,direct,True,,,,
direct_tabular_plus_top20_source_ridge_raw,tabular_plus_top20_source,ridge,32,281,5,8.659231679015042,13.412801570569133,0.33323657951716856,0.5411632359463054,0.18164854309465947,direct,False,,,,
direct_top20_source_rf_leaf3_log1p,top20_source,rf_leaf3,20,281,5,7.246719240779853,13.415593884865292,0.3329589332968651,0.6073599972886297,-2.16796904014582,direct,True,,,,
direct_top15_source_rf_leaf2_raw,top15_source,rf_leaf2,15,281,5,7.9119046378431435,13.45025137835932,0.32950804878011564,0.5896581154047135,0.14936356730386388,direct,False,,,,
direct_top20_source_rf_leaf3_raw,top20_source,rf_leaf3,20,281,5,7.98184877929523,13.475117287414143,0.32702663742160365,0.5759990308584041,0.213772712736424,direct,False,,,,
direct_tabular_plus_all_source_ridge_raw,tabular_plus_all_source,ridge,188,281,5,8.922661092394264,13.484341692767872,0.32610495284892016,0.5722228321685398,0.663180486967847,direct,False,,,,
direct_top15_source_et_leaf3_log1p,top15_source,et_leaf3,15,281,5,7.261928324200886,13.485344604612711,0.32600470584032903,0.604277714841689,-2.360958792900181,direct,True,,,,
direct_tabular_plus_top30_source_ridge_raw,tabular_plus_top30_source,ridge,42,281,5,8.703597202296423,13.512319532739895,0.323305604114168,0.5406067128903502,0.18959475873968346,direct,False,,,,
direct_tabular_plus_top50_source_ridge_raw,tabular_plus_top50_source,ridge,62,281,5,8.891398906681964,13.554509380764674,0.3190732879282504,0.5463634003612802,0.1912212171437131,direct,False,,,,
direct_top50_source_rf_leaf3_log1p,top50_source,rf_leaf3,50,281,5,7.225219601998801,13.559277263638858,0.3185941632738677,0.6279781358115764,-2.1734267956751565,direct,True,,,,
direct_tabular_plus_top15_source_ridge_raw,tabular_plus_top15_source,ridge,27,281,5,8.643818696821485,13.560212373606317,0.3185001742877044,0.5455072526474055,0.17842420729714928,direct,False,,,,
direct_top50_source_rf_leaf3_raw,top50_source,rf_leaf3,50,281,5,8.055546450785165,13.57321974052886,0.31719211662552027,0.5805870291032535,0.3992690462333661,direct,False,,,,
direct_tabular_plus_raw_source_ridge_raw,tabular_plus_raw_source,ridge,149,281,5,9.099261246050164,13.57943616929689,0.3165665320327208,0.5577292411927537,0.698446392129921,direct,False,,,,
direct_top15_source_hgb_medium_raw,top15_source,hgb_medium,15,281,5,8.391204979266853,13.585232880648448,0.3159829272262953,0.49655359290199685,-0.5763741606986749,direct,False,,,,
direct_top10_source_et_leaf2_raw,top10_source,et_leaf2,10,281,5,8.134071417993152,13.596934479515213,0.3148040677065984,0.5306513348206104,-0.08147439467591093,direct,False,,,,
direct_top15_source_hgb_slow_raw,top15_source,hgb_slow,15,281,5,8.38149811940879,13.616771661435354,0.31280328265733814,0.501113467144874,-0.5616911008454427,direct,False,,,,
direct_top50_source_rf_leaf2_raw,top50_source,rf_leaf2,50,281,5,8.05908664429515,13.622159020204679,0.3122594081295984,0.580880708585389,0.4003272775065939,direct,False,,,,
direct_tabular_plus_top10_source_ridge_raw,tabular_plus_top10_source,ridge,22,281,5,8.793457464228585,13.623162899125283,0.3121580389234889,0.5498491059935747,0.1629245970539857,direct,False,,,,
direct_tabular_ridge_raw,tabular,ridge,12,281,5,8.698223461223074,13.631940683839783,0.31127136174942394,0.5444764140228665,0.13487082851227308,direct,False,,,,
direct_top10_source_et_leaf1_raw,top10_source,et_leaf1,10,281,5,8.114739001657291,13.68907810380223,0.30548573673184276,0.5367417955511041,0.2756156613393207,direct,False,,,,
direct_top10_source_rf_leaf2_log1p,top10_source,rf_leaf2,10,281,5,7.448138700897714,13.764570449709733,0.29780441850951656,0.5456960329948526,-2.244294356170183,direct,True,,,,
direct_top10_source_hgb_medium_log1p,top10_source,hgb_medium,10,281,5,7.787906232586922,13.796537050451425,0.29453909745713913,0.5005796519535896,-2.035377513595279,direct,True,,,,
direct_raw_source_et_leaf2_log1p,raw_source,et_leaf2,137,281,5,7.192902556142466,13.836583161797874,0.29043778324086433,0.6527585552792085,-2.354545589920101,direct,True,,,,
direct_top10_source_et_leaf3_raw,top10_source,et_leaf3,10,281,5,8.245777554503745,13.844551633161533,0.2896202758778056,0.5109849918371993,-0.13709413838050713,direct,False,,,,
direct_top10_source_hgb_slow_log1p,top10_source,hgb_slow,10,281,5,7.807211061763364,13.866303561946205,0.28738628976982294,0.49874239744012094,-2.0692285016654175,direct,True,,,,
direct_top10_source_et_leaf1_log1p,top10_source,et_leaf1,10,281,5,7.5750075309438945,13.879034002370974,0.2860772097077543,0.5400095838233394,-2.0580114746735014,direct,True,,,,
direct_top10_source_rf_leaf3_log1p,top10_source,rf_leaf3,10,281,5,7.499258881293697,13.905416373194658,0.2833604677069541,0.5423973386556437,-2.3550975276352006,direct,True,,,,
direct_raw_source_hgb_medium_log1p,raw_source,hgb_medium,137,281,5,7.877612976055485,13.924071952145262,0.28143628317439395,0.5515938873006305,-1.8976890535688773,direct,True,,,,
direct_raw_source_rf_leaf2_log1p,raw_source,rf_leaf2,137,281,5,7.34999829215852,13.928374733712726,0.28099211706550586,0.6240883374190305,-2.1886977444365945,direct,True,,,,
