experiment,feature_set,model,T,cv,pca_dim,n_rows,n_features_per_timestep,n_flattened_features,explained_variance,log_target,valid_embedding_rows,total_rows,MAE,RMSE,R2,Spearman,Bias
resnet50_pca16_T7_random2fold_lstm_h16_log1p,resnet50_pca16_T7,lstm_h16,7,random_2fold_sequence_cv,16,233,16,112,0.34075337648391724,True,252,281,8.70179701670045,15.910852878352978,0.1659905661574591,0.3932284848001882,-4.385771393264312
resnet50_pca8_T7_random2fold_gru_h16_log1p,resnet50_pca8_T7,gru_h16,7,random_2fold_sequence_cv,8,233,8,56,0.23441481590270996,True,252,281,8.252499272383334,16.05081402552502,0.15125316322286142,0.4962972871438167,-3.721072433332517
resnet50_pca32_T7_random2fold_gru_h16_log1p,resnet50_pca32_T7,gru_h16,7,random_2fold_sequence_cv,32,233,32,224,0.47574350237846375,True,252,281,8.341233255525516,16.17572001761597,0.13799202150976853,0.4573727909897808,-5.056250701134808
resnet50_pca32_T7_random2fold_lstm_h8_log1p,resnet50_pca32_T7,lstm_h8,7,random_2fold_sequence_cv,32,233,32,224,0.47574350237846375,True,252,281,9.183055797871601,16.246856508583182,0.1303935890839546,0.32906615361846975,-3.8397596240555267
resnet50_pca32_T7_random2fold_lstm_h32_raw,resnet50_pca32_T7,lstm_h32,7,random_2fold_sequence_cv,32,233,32,224,0.47574350237846375,False,252,281,8.0578823427274,16.32577975973189,0.1219243982272018,0.5653045464722244,-4.823381138461854
resnet50_pca8_T7_random2fold_lstm_h16_log1p,resnet50_pca8_T7,lstm_h16,7,random_2fold_sequence_cv,8,233,8,56,0.23441481590270996,True,252,281,8.983669074308207,16.440937181885676,0.10949331691859765,0.4119602463542082,-3.8585596473431893
resnet50_pca16_T7_random2fold_gru_h16_raw,resnet50_pca16_T7,gru_h16,7,random_2fold_sequence_cv,16,233,16,112,0.34075337648391724,False,252,281,7.966708352125766,16.49386026153596,0.10375103978939215,0.5748786633424786,-4.583885852871023
resnet50_pca64_T7_random2fold_lstm_h16_log1p,resnet50_pca64_T7,lstm_h16,7,random_2fold_sequence_cv,64,233,64,448,0.6464006304740906,True,252,281,8.816094720824083,16.570693265961612,0.09538163598997207,0.4440058363027136,-5.141157546268512
resnet50_pca8_T7_random2fold_gru_h8_log1p,resnet50_pca8_T7,gru_h8,7,random_2fold_sequence_cv,8,233,8,56,0.23441481590270996,True,252,281,8.692847135240939,16.64235875569463,0.08754006818867643,0.4395944566508427,-3.1542088443117593
resnet50_pca64_T7_random2fold_gru_h16_raw,resnet50_pca64_T7,gru_h16,7,random_2fold_sequence_cv,64,233,64,448,0.6464006304740906,False,252,281,8.380918153877422,16.657349163729243,0.08589555287585493,0.5307648668237687,-5.1363381960872925
resnet50_pca64_T7_random2fold_lstm_h32_raw,resnet50_pca64_T7,lstm_h32,7,random_2fold_sequence_cv,64,233,64,448,0.6464006304740906,False,252,281,8.343054098121087,16.84583344200295,0.0650916298344486,0.5445862410491684,-6.027459760592219
resnet50_pca8_T7_random2fold_lstm_h16_raw,resnet50_pca8_T7,lstm_h16,7,random_2fold_sequence_cv,8,233,8,56,0.23441481590270996,False,252,281,8.586422883389845,17.04023284066369,0.04338961198499314,0.4333986027785051,-5.12705077224535
resnet50_pca16_T7_random2fold_lstm_h8_log1p,resnet50_pca16_T7,lstm_h8,7,random_2fold_sequence_cv,16,233,16,112,0.34075337648391724,True,252,281,9.437143217340559,17.072349641307138,0.039780246027403154,0.35498704097934525,-3.346154251835377
resnet50_pca32_T7_random2fold_lstm_h16_raw,resnet50_pca32_T7,lstm_h16,7,random_2fold_sequence_cv,32,233,32,224,0.47574350237846375,False,252,281,8.436019104181952,17.307298488870092,0.013169393406027519,0.4800491797679899,-5.521552201248546
resnet50_pca32_T7_random2fold_gru_h8_raw,resnet50_pca32_T7,gru_h8,7,random_2fold_sequence_cv,32,233,32,224,0.47574350237846375,False,252,281,8.36420580552883,17.33653251259275,0.0098328363978617,0.49329375424536,-5.246813314667076
resnet50_pca16_T7_random2fold_lstm_h16_raw,resnet50_pca16_T7,lstm_h16,7,random_2fold_sequence_cv,16,233,16,112,0.34075337648391724,False,252,281,8.640247335249773,17.48076096469431,-0.006710762573663098,0.4096758157731963,-5.252697591106267
resnet50_pca8_T7_random2fold_gru_h8_raw,resnet50_pca8_T7,gru_h8,7,random_2fold_sequence_cv,8,233,8,56,0.23441481590270996,False,252,281,8.525178491813431,17.551568125472976,-0.014882797902897149,0.3901319808897136,-4.813506294217744
resnet50_pca8_T7_random2fold_gru_h16_raw,resnet50_pca8_T7,gru_h16,7,random_2fold_sequence_cv,8,233,8,56,0.23441481590270996,False,252,281,8.428092283240716,17.668003566941778,-0.028392734395371377,0.45850836549371404,-5.315443180149717
