experiment,feature_set,model,T,n_features,n_rows,n_splits,MAE,RMSE,R2,Spearman,Bias,mode,log_target,base_model,residual_model,n_base_features,n_residual_features
residual_T7_raw_source_base-et_leaf1_res-et_leaf3_raw,raw_source,base_et_leaf1_res_et_leaf3,7,1043,275,5,6.166016673708315,10.91597212199475,0.5647635937444406,0.7823086466056952,0.3358682605350303,residual_temporal,False,et_leaf1,et_leaf3,84.0,959.0
residual_T7_raw_source_base-et_leaf1_res-rf_leaf2_raw,raw_source,base_et_leaf1_res_rf_leaf2,7,1043,275,5,6.166016673708314,10.91597212199475,0.5647635937444406,0.7823086466056952,0.3358682605350299,residual_temporal,False,et_leaf1,rf_leaf2,84.0,959.0
residual_T7_raw_source_base-et_leaf1_res-et_leaf1_raw,raw_source,base_et_leaf1_res_et_leaf1,7,1043,275,5,6.166016673708314,10.91597212199475,0.5647635937444406,0.7823086466056952,0.33586826053503027,residual_temporal,False,et_leaf1,et_leaf1,84.0,959.0
residual_T7_raw_source_base-et_leaf1_res-et_leaf2_raw,raw_source,base_et_leaf1_res_et_leaf2,7,1043,275,5,6.166016673708315,10.91597212199475,0.5647635937444406,0.7823086466056952,0.3358682605350303,residual_temporal,False,et_leaf1,et_leaf2,84.0,959.0
residual_T7_raw_source_base-et_leaf3_res-hgb_slow_log1p,raw_source,base_et_leaf3_res_hgb_slow,7,1043,275,5,6.0346069373382685,10.926435536074237,0.5639288093903362,0.7366111768269814,-1.0045969960819312,residual_temporal,True,et_leaf3,hgb_slow,84.0,959.0
residual_T7_raw_source_base-et_leaf3_res-et_leaf1_raw,raw_source,base_et_leaf3_res_et_leaf1,7,1043,275,5,6.093437403650914,10.962857602265158,0.5610167736792739,0.773015204408413,-0.48504826175107085,residual_temporal,False,et_leaf3,et_leaf1,84.0,959.0
residual_T7_top30_source_base-et_leaf2_res-rf_leaf2_raw,top30_source,base_et_leaf2_res_rf_leaf2,7,294,275,5,6.141925572755308,10.970157765064672,0.5604319414900774,0.7706350076454805,0.13748275398169693,residual_temporal,False,et_leaf2,rf_leaf2,84.0,210.0
residual_T7_raw_source_base-et_leaf2_res-et_leaf3_log1p,raw_source,base_et_leaf2_res_et_leaf3,7,1043,275,5,5.740629188025723,10.984615265999198,0.5592725701489333,0.7847950145696894,-1.2299042524356065,residual_temporal,True,et_leaf2,et_leaf3,84.0,959.0
residual_T7_raw_source_base-et_leaf3_res-et_leaf3_log1p,raw_source,base_et_leaf3_res_et_leaf3,7,1043,275,5,5.880984762458477,10.992558656168509,0.5586349263799977,0.7693499899021956,-0.8053040206576917,residual_temporal,True,et_leaf3,et_leaf3,84.0,959.0
residual_T7_top30_source_base-et_leaf3_res-et_leaf1_raw,top30_source,base_et_leaf3_res_et_leaf1,7,294,275,5,6.2084779260086576,11.000082012787626,0.55803057515467,0.772644182222094,0.25346607081195244,residual_temporal,False,et_leaf3,et_leaf1,84.0,210.0
