cv_fold,model,split,R2,RMSE,MAE,train_rows,val_rows,test_rows,n_raw_features,n_processed_features,train_PM2.5_mean,val_PM2.5_mean,test_PM2.5_mean
2,extra_trees_conservative,val,-0.004875338061306689,40.87215123517588,31.379353366320128,15652,5302,5724,111,113,70.1704127023669,68.31922646074787,55.12442024692804
2,extra_trees_conservative,test,-1.8751832275175633,73.38230297114819,65.1576967420295,15652,5302,5724,111,113,70.1704127023669,68.31922646074787,55.12442024692804
2,hgb,val,-4.638568650271189,96.81794023694897,76.88792151346435,15652,5302,5724,111,113,70.1704127023669,68.31922646074787,55.12442024692804
2,hgb,test,-3.1463527556608017,88.12349189463096,68.02954018492643,15652,5302,5724,111,113,70.1704127023669,68.31922646074787,55.12442024692804
3,train_mean_baseline,val,-0.01738099195973386,61.93521894656451,36.656734244572725,17116,4260,5302,111,113,64.5281384400794,72.62344215269096,68.31922646074787
3,train_mean_baseline,test,-0.008645396785556647,40.948750862584184,28.321687932791583,17116,4260,5302,111,113,64.5281384400794,72.62344215269096,68.31922646074787
3,ridge,val,0.3031311633902444,51.2591487157928,44.09115423114888,17116,4260,5302,111,113,64.5281384400794,72.62344215269096,68.31922646074787
3,ridge,test,0.05171789813885974,39.704540983076114,31.463629277704786,17116,4260,5302,111,113,64.5281384400794,72.62344215269096,68.31922646074787
3,random_forest,val,0.4508704975090434,45.50229022477579,34.396778115402995,17116,4260,5302,111,113,64.5281384400794,72.62344215269096,68.31922646074787
3,random_forest,test,0.5580660940098885,27.10504072415695,16.565867524291498,17116,4260,5302,111,113,64.5281384400794,72.62344215269096,68.31922646074787
3,extra_trees,val,0.12855002356775824,57.321440898196414,47.14133774386715,17116,4260,5302,111,113,64.5281384400794,72.62344215269096,68.31922646074787
3,extra_trees,test,0.44704147597194743,30.319196057773325,18.499930586405966,17116,4260,5302,111,113,64.5281384400794,72.62344215269096,68.31922646074787
3,extra_trees_conservative,val,0.19161591320770643,55.20834717183261,43.14630972786672,17116,4260,5302,111,113,64.5281384400794,72.62344215269096,68.31922646074787
3,extra_trees_conservative,test,0.42714578222402,30.859825095874346,18.842254472814112,17116,4260,5302,111,113,64.5281384400794,72.62344215269096,68.31922646074787
3,hgb,val,-1.6734398166982363,100.3993898466463,86.1233225518665,17116,4260,5302,111,113,64.5281384400794,72.62344215269096,68.31922646074787
3,hgb,test,0.2258785170943789,35.87368271527783,21.696308756659047,17116,4260,5302,111,113,64.5281384400794,72.62344215269096,68.31922646074787
4,train_mean_baseline,val,-0.30726845352294796,23.83494059175029,19.753730327694427,17901,4517,4260,111,113,67.75308152084193,56.19753020382844,72.62344215269096
4,train_mean_baseline,test,-0.006291156739696824,61.59673543657753,38.074629421046765,17901,4517,4260,111,113,67.75308152084193,56.19753020382844,72.62344215269096
4,ridge,val,-5.272686328742969,52.21057409649706,44.40865754899317,17901,4517,4260,111,113,67.75308152084193,56.19753020382844,72.62344215269096
4,ridge,test,0.4535387822473923,45.39160511722818,38.58551976609207,17901,4517,4260,111,113,67.75308152084193,56.19753020382844,72.62344215269096
4,random_forest,val,-0.3231895222611112,23.979642816270168,17.644724266447508,17901,4517,4260,111,113,67.75308152084193,56.19753020382844,72.62344215269096
4,random_forest,test,0.21135901325347806,54.53000526835529,43.75569982592436,17901,4517,4260,111,113,67.75308152084193,56.19753020382844,72.62344215269096
4,extra_trees,val,-1.035250304074403,29.739974882818924,23.6021817292497,17901,4517,4260,111,113,67.75308152084193,56.19753020382844,72.62344215269096
