epoch,train_loss,val_MAE,val_RMSE,val_R2,val_finite_fraction,val_Pearson,val_Spearman,test_MAE,test_RMSE,test_R2,test_finite_fraction,test_Pearson,test_Spearman
20,0.07873930116283133,55.91124007911296,56.930816991119656,-27.68098601910575,1.0,-0.0644444505340452,-0.16957423592127882,48.33157253492573,48.903879850009886,-40.11308141565922,1.0,0.31433280191193885,0.31811424003930594
21,0.07177619303160525,55.88634063297717,56.90648736294068,-27.656477373029638,1.0,-0.06357990786313077,-0.16983650099066072,48.31613486236788,48.88890954184677,-40.087914443367296,1.0,0.30865905544101635,0.3115673263173608
22,0.08185116344309867,55.85136032104492,56.87279690556865,-27.622556318136493,1.0,-0.06422602323187923,-0.1679315304632493,48.30542670016599,48.87772311295999,-40.06911367841006,1.0,0.30971668745781356,0.3156042740261881
23,0.09107465217722223,55.897384028522204,56.91668731657999,-27.666751102783874,1.0,-0.06478360498890301,-0.1658525136884633,48.32582653023202,48.89808401834409,-40.10333697903117,1.0,0.31549267619177657,0.3220651224912677
24,0.08292278425490603,55.94542492655714,56.96231017959534,-27.712726492163867,1.0,-0.06319381920180034,-0.16930402342555195,48.35329687127618,48.92643965321324,-40.15102183925931,1.0,0.31543103007211665,0.3235455531675405
25,0.06592359568210358,55.932576906727085,56.9493417552823,-27.699654113873777,1.0,-0.06174917175268088,-0.1700793976799019,48.35423335803865,48.92814338800102,-40.153887841717804,1.0,0.3088352748536962,0.3077198304318225
26,0.09100952237210375,55.88156042929782,56.90000918246374,-27.64995329206056,1.0,-0.061955374888233314,-0.16806810839587866,48.34102588891983,48.91535413683397,-40.13237635226747,1.0,0.3003563489208799,0.3063097675756284
27,0.1111032393701533,55.854221001094835,56.873718611592565,-27.623484065593612,1.0,-0.06400161569228287,-0.16708332116305533,48.33008469764828,48.905244814870365,-40.11537647669605,1.0,0.2917249588315879,0.2958574398393109
28,0.08039683848619461,55.85160505737117,56.871321664909644,-27.621071439125895,1.0,-0.06710448987288023,-0.17113718916848808,48.32762602215524,48.90346682893241,-40.11238697188373,1.0,0.28664451214672315,0.29011650830272967
29,0.07925830036401749,55.80513274646634,56.82687464874901,-27.57635209436829,1.0,-0.07026541339347007,-0.17867634012966555,48.302403719970464,48.87803761796629,-40.06964220071385,1.0,0.2852913309407694,0.28331572913757724
