split_mode,feature_set,model,target,R2,RMSE,MAE,train_rows,test_rows,seed,train_frac
chrono,T7_road_only,hist_gradient_boosting,PM10,-0.8597405796326261,108.72441105969537,73.24725493438679,16825,5462,42,0.8
chrono,T7_tabular_only,random_forest,PM10,-0.8625233153610175,108.80572299480939,75.86018133103049,16825,5462,42,0.8
chrono,T7_tabular_plus_road,extra_trees,PM10,-0.942201850401859,111.10869887620258,92.13530794554809,16825,5462,42,0.8
chrono,T7_road_only,ridge,PM10,-0.9863425232679863,112.36419638030083,87.10760956451288,16825,5462,42,0.8
chrono,T7_tabular_only,extra_trees,PM10,-1.1499177577680588,116.89927118515976,93.7532838820388,16825,5462,42,0.8
chrono,T7_tabular_plus_road,random_forest,PM10,-1.1864104326924045,117.88721979295104,91.95766098677252,16825,5462,42,0.8
chrono,T7_tabular_plus_yolo_plus_road,random_forest,PM10,-1.7092351483686827,131.2273113115313,107.53813994534416,16825,5462,42,0.8
chrono,T7_tabular_plus_road,hist_gradient_boosting,PM10,-1.9105097166592069,136.01456185181976,73.37534429336192,16825,5462,42,0.8
chrono,T7_tabular_plus_yolo,random_forest,PM10,-1.9120363829546059,136.05022942293357,109.30607128889503,16825,5462,42,0.8
chrono,T7_tabular_plus_yolo_plus_road,hist_gradient_boosting,PM10,-2.2952153057019107,144.72474005430274,70.8363428205832,16825,5462,42,0.8
chrono,T7_tabular_plus_yolo,hist_gradient_boosting,PM10,-2.741392394664375,154.21176564673297,77.63497268230755,16825,5462,42,0.8
chrono,T7_tabular_only,hist_gradient_boosting,PM10,-2.756922781043678,154.5314979603108,71.6786314258826,16825,5462,42,0.8
chrono,T7_yolo_only,ridge,PM10,-8.520305173920335,245.9950199265759,208.14560483441971,16825,5462,42,0.8
chrono,T7_tabular_plus_road,ridge,PM10,-12.374066017195009,291.563135089404,237.05636907827645,16825,5462,42,0.8
chrono,T7_tabular_only,ridge,PM10,-14.461790900229477,313.49511506198746,266.4775606199725,16825,5462,42,0.8
