target,target_mode,model,val_MAE,val_RMSE,val_R2,val_Pearson,val_Spearman,test_MAE,test_RMSE,test_R2,test_Pearson,test_Spearman
PM10,raw,ridge,161.72882950560742,190.84822445717361,-2.9458607921980655,0.06379240560668527,0.06601404192002551,216.27574518191486,255.95205897197076,-9.308507365830756,-0.5661810555853066,-0.6501930531761997
PM10,raw,elasticnet,161.40043632289903,190.57600638024766,-2.934612392178255,0.062138038653042474,0.059486701270382955,212.9911144029168,252.67948177664576,-9.046585522836473,-0.5618825445564661,-0.6507326222395609
PM10,raw,random_forest,147.64349679061223,171.58381107040321,-2.189467133979082,0.09171327397496709,0.10949388832457282,291.0049531784981,352.2712834310469,-18.526887036098774,-0.5361712635880975,-0.6383150430896746
PM10,raw,hist_gradient_boosting,140.41737261284308,165.48570839802485,-1.9667878962981686,0.08365167511261537,0.04833937568717881,293.53827283005023,357.1109618879462,-19.067112876356145,-0.5284120972498514,-0.6671618415195789
PM10,log1p,mean_baseline,129.28098247283066,161.07064873921132,-1.8105953766632101,,,49.818139086124376,89.36010250826713,-0.25650970443909293,,
PM10,log1p,ridge,144.86660532413308,174.33325818974157,-2.292501683291605,0.013157101218661215,-0.017438961631351186,147.98406420220053,234.2359328823044,-7.633473649434924,-0.284982466741132,-0.4129120539325146
PM10,log1p,elasticnet,143.80253757459135,173.43414252585492,-2.258627413286799,0.024414895469435056,0.0004856554408226336,149.23399874801024,224.3333325527828,-6.918923481690131,-0.31409174225668357,-0.46144881261281673
PM10,log1p,random_forest,142.80467379646143,167.52936007074453,-2.0405165446223585,0.09158858666221079,0.11397415567110972,290.65552827156,353.1307658126132,-18.622287882122365,-0.5356701148209924,-0.6341834994709036
PM10,log1p,hist_gradient_boosting,141.90095483433146,166.7992653933189,-2.0140730860218583,0.0887296998037671,0.0914854161202117,285.7140134571986,348.5217098898559,-18.11341117771298,-0.5327102577116443,-0.6650637991862183
aqi,raw,mean_baseline,60.93411695106808,104.82184687230504,-0.3088452125485883,,,66.5294633638896,86.50871045008434,-0.014169233168212614,,
aqi,raw,ridge,116.5285705025496,147.9433980690091,-1.607209040920735,0.06862799682082428,0.11838578763090678,212.00922359746266,249.49895059514236,-7.435837423977903,-0.44621331712123014,-0.5450665925189424
aqi,raw,elasticnet,116.43559438679473,147.97116128436178,-1.6081876759783857,0.0662290235882139,0.11232903430962587,208.55531287329572,245.60184844915509,-7.174364832543713,-0.4448931481339829,-0.5427505335618819
aqi,raw,random_forest,107.55275230400188,136.35988152479865,-1.2149192853234765,0.12514137593518915,0.17863277771204347,270.68682243658014,330.5425067109872,-13.80626054567172,-0.44274513209918576,-0.49996983964101804
aqi,raw,hist_gradient_boosting,106.29539714809546,134.6874787671076,-1.1609221486171584,0.12241783693906308,0.17235322641538317,270.9426166490294,331.57180030792614,-13.89861609549659,-0.43732105362150275,-0.5255755694256249
aqi,log1p,mean_baseline,82.01836085285912,122.62611027242976,-0.7912268032660874,,,59.08048375456264,88.28116941555082,-0.05615317660051944,,
aqi,log1p,ridge,103.7289186752743,138.49274623300118,-1.284750223325613,0.026767729111305465,0.06131944970077362,149.44838052032023,189.01336402767143,-3.841453646565663,-0.38551964786339527,-0.5327791597152639
aqi,log1p,elasticnet,102.95851931014472,137.71451624087703,-1.259145049310797,0.038151726902623445,0.08088438783624174,153.35123307604766,193.72068362155846,-4.085606350301288,-0.38756695107623684,-0.5359875244119143
aqi,log1p,random_forest,117.0895525085882,145.08104830824374,-1.5072985187265848,0.10570968407225047,0.13850685974921534,275.1086142446348,331.1636916346216,-13.861963324893322,-0.44497021693032623,-0.46029149578895423
aqi,log1p,hist_gradient_boosting,107.1129550603163,135.76729204092692,-1.1957100301709827,0.09953894036825461,0.13479509645148835,257.1432475523799,314.50813901260994,-12.404620788411426,-0.4217859701769618,-0.5267404933853402
