embedding_kind,target,target_mode,model,pca_components,alpha,val_MAE,val_RMSE,val_R2,val_Pearson,val_Spearman,test_MAE,test_RMSE,test_R2,test_Pearson,test_Spearman
front,aqi,log1p,ridge_pca256,256.0,1.0,72.36047120552787,108.16094413228723,-0.39355981111632676,0.09481990542446248,0.1537520257832766,72.36990785321804,96.20222477958404,-0.2552936321900028,-0.03055272463926141,-0.019205165056333257
front,aqi,log1p,ridge_pca256,256.0,10.0,72.35505379909397,108.15706309288086,-0.3934598052675973,0.09483057621040072,0.15375158475308212,72.36807685247926,96.19886212172048,-0.2552058785181863,-0.03054823124014896,-0.01919920851500215
front,aqi,log1p,ridge_pca256,256.0,100.0,72.30131833194731,108.11863688220495,-0.3924698399954001,0.09493638317394515,0.15380010595958948,72.34986905261188,96.16545727932257,-0.2543342949343024,-0.0305035465858594,-0.019174280818698205
front,aqi,log1p,ridge_pca256,256.0,1000.0,71.79447845483307,107.76818345262126,-0.38345742630873025,0.0959341182790939,0.15451540711531198,72.1766349992858,95.84994027828695,-0.24611690462508573,-0.030080168155260344,-0.018949894171248222
rear,PM2.5,raw,ridge_pca64,64.0,1.0,29.171297834616592,40.38535300592769,-0.19351693316107843,0.143938026723064,0.21804867079576482,46.02791819032542,54.20385436518987,-0.7165246773604415,0.048024757877784714,0.04366926479686358
rear,PM2.5,raw,ridge_pca64,64.0,10.0,29.17100028556163,40.38498874354481,-0.19349540301071144,0.14394285995077533,0.2180554232453172,46.02747952728827,54.2033461515746,-0.7164924893497333,0.04802200712510881,0.043670855597206834
rear,PM2.5,raw,ridge_pca64,64.0,100.0,29.168064040411142,40.3813832022998,-0.19328230379032885,0.14399115586626324,0.21812244819296608,46.02314739949674,54.198321462148826,-0.716174263907636,0.04799448694975189,0.043643544012549745
rear,PM2.5,raw,ridge_pca64,64.0,1000.0,29.13897778325737,40.34581068447218,-0.19118087208487267,0.14446913118489454,0.21861920431334517,45.980384691938376,54.14874339630882,-0.7130359495589023,0.047722410052476315,0.04330159987170564
rear,PM2.5,raw,ridge_pca128,128.0,1.0,29.8893367598815,42.10166886391463,-0.297117863988279,0.05824769728616635,0.11388342797812073,44.93865218844894,53.32990098394862,-0.6616182998751796,0.08049043930944336,0.09812541946097976
rear,PM2.5,raw,ridge_pca128,128.0,10.0,29.888394117331767,42.10049195722479,-0.2970453459434703,0.05826750596968903,0.11391162591344392,44.93820466877067,53.329162919785226,-0.6615723079490206,0.08048475489326767,0.09811942850918184
