heldout_date,train_rows,test_rows,embedding_kind,target,target_mode,model,pca_components,alpha,model_label,MAE,RMSE,R2,Pearson,Spearman
2023-01-30,25407,1271,front,PM2.5,log1p,ridge,64.0,1000.0,front_log1p_pca64_a1000,14.668580708484807,18.381823662595796,-0.22660898930659634,-0.10050023802328903,-0.17592066904257903
2023-01-30,25407,1271,front,PM2.5,log1p,ridge,128.0,100.0,front_log1p_pca128_a100,14.797214465946752,18.350447482348113,-0.22242513257355223,-0.05635304108750081,-0.10766097981483086
2023-01-30,25407,1271,front,PM2.5,log1p,ridge,128.0,1000.0,front_log1p_pca128_a1000,14.777709215167244,18.326283874445846,-0.21920790815652524,-0.05701276413185991,-0.10846197718172332
2023-01-30,25407,1271,front,PM2.5,log1p,ridge,256.0,100.0,front_log1p_pca256_a100,15.351161567286585,19.050346763181572,-0.31745176178325374,-0.09224686982694989,-0.11739294018799887
2023-01-30,25407,1271,front,PM2.5,log1p,ridge,256.0,1000.0,front_log1p_pca256_a1000,15.305327096148089,18.99109300204561,-0.30926896398153647,-0.09268436029288316,-0.11869312769179495
2023-02-01,25310,1368,front,PM2.5,log1p,ridge,64.0,100.0,front_log1p_pca64_a100,11.409891387802865,13.790438236712069,-3.241917031180998,-0.04266795721272777,-0.06892022233130134
2023-02-01,25310,1368,front,PM2.5,log1p,ridge,64.0,1000.0,front_log1p_pca64_a1000,11.398085651121098,13.774518594063519,-3.23212897020478,-0.04216174831679408,-0.06858545504813718
2023-02-01,25310,1368,front,PM2.5,log1p,ridge,128.0,100.0,front_log1p_pca128_a100,10.981438834489815,13.630414586426681,-3.144042168597572,-0.05162477913928814,-0.09664787642686071
2023-02-01,25310,1368,front,PM2.5,log1p,ridge,128.0,1000.0,front_log1p_pca128_a1000,10.965583978920591,13.606463150009809,-3.1294910989281286,-0.05111847407995702,-0.09640228796569632
2023-02-01,25310,1368,front,PM2.5,log1p,ridge,256.0,100.0,front_log1p_pca256_a100,11.328890815305872,13.948206219973748,-3.339530589104662,-0.05282524901371064,-0.07312538140673312
2023-02-01,25310,1368,front,PM2.5,log1p,ridge,256.0,1000.0,front_log1p_pca256_a1000,11.289909271815558,13.898604077030868,-3.3087212820505654,-0.05267133969777052,-0.07373039703300022
2023-02-06,25256,1422,front,PM2.5,log1p,ridge,64.0,100.0,front_log1p_pca64_a100,20.52970746525417,27.02387981199013,-0.047041356034436044,0.1218489627085469,0.15036221199163363
2023-02-06,25256,1422,front,PM2.5,log1p,ridge,64.0,1000.0,front_log1p_pca64_a1000,20.5204993585734,27.01499024072721,-0.04635261571209193,0.1217511266775604,0.15025451296187772
2023-02-06,25256,1422,front,PM2.5,log1p,ridge,128.0,100.0,front_log1p_pca128_a100,20.521955784937514,27.26367740076536,-0.06570573510190392,0.12389743754010202,0.16731914683015126
2023-02-06,25256,1422,front,PM2.5,log1p,ridge,128.0,1000.0,front_log1p_pca128_a1000,20.50333806242155,27.23867290424889,-0.06375183759277459,0.12415267783084756,0.1674954462649816
2023-02-06,25256,1422,front,PM2.5,log1p,ridge,256.0,100.0,front_log1p_pca256_a100,20.89218585262389,27.47084982732476,-0.08196353441870885,0.11263789189680658,0.1462939651040072
2023-02-06,25256,1422,front,PM2.5,log1p,ridge,256.0,1000.0,front_log1p_pca256_a1000,20.850636174144576,27.430945691739232,-0.07882249859403112,0.11327412549875963,0.14741219995880822
2023-02-07,25292,1386,front,PM2.5,log1p,ridge,64.0,100.0,front_log1p_pca64_a100,22.553596957400025,25.290463495486815,-10.570764076532233,0.23693079484859686,0.21400232448060305
2023-02-07,25292,1386,front,PM2.5,log1p,ridge,64.0,1000.0,front_log1p_pca64_a1000,22.518337389222886,25.235635434807506,-10.520649148151398,0.23722509523215998,0.214391099908997
2023-02-07,25292,1386,front,PM2.5,log1p,ridge,128.0,100.0,front_log1p_pca128_a100,24.816699442969437,28.611678294690293,-13.80932034996248,0.25026128517648166,0.24682296798365053
2023-02-07,25292,1386,front,PM2.5,log1p,ridge,128.0,1000.0,front_log1p_pca128_a1000,24.738182947757934,28.484279582137592,-13.677731568968525,0.25081229496654306,0.24706438247557344
2023-02-07,25292,1386,front,PM2.5,log1p,ridge,256.0,100.0,front_log1p_pca256_a100,25.870393741401784,30.38634265058184,-15.703416980635232,0.246391748140432,0.25507566635032664
2023-02-07,25292,1386,front,PM2.5,log1p,ridge,256.0,1000.0,front_log1p_pca256_a1000,25.7474253177645,30.172972554748686,-15.469660871906797,0.24767725759217496,0.2555133375766912
2023-02-08,25324,1354,front,PM2.5,log1p,ridge,64.0,100.0,front_log1p_pca64_a100,19.191189288468053,23.512091292502642,-0.6993197183991355,-0.05471035416216498,-0.14577343728920583
2023-02-08,25324,1354,front,PM2.5,log1p,ridge,64.0,1000.0,front_log1p_pca64_a1000,19.16556309965355,23.47849962940616,-0.6944675597701606,-0.05497223149197287,-0.14615871067689495
2023-02-08,25324,1354,front,PM2.5,log1p,ridge,128.0,100.0,front_log1p_pca128_a100,19.59871305820455,23.619020609045347,-0.7148113462213874,-0.011217573708267368,-0.09268617940225755
2023-02-08,25324,1354,front,PM2.5,log1p,ridge,128.0,1000.0,front_log1p_pca128_a1000,19.55910850364622,23.56874589301956,-0.7075189270168536,-0.011949057685095896,-0.0940953970136947
2023-02-08,25324,1354,front,PM2.5,log1p,ridge,256.0,100.0,front_log1p_pca256_a100,20.230865197839556,24.501095284996758,-0.8452855323921282,-0.006577237994531213,-0.07824221061401457
2023-02-08,25324,1354,front,PM2.5,log1p,ridge,256.0,1000.0,front_log1p_pca256_a1000,20.16029431448452,24.404815025235397,-0.8308114453978817,-0.007113787211888512,-0.07989142572928978
2023-12-21,25970,708,front,PM2.5,log1p,ridge,64.0,100.0,front_log1p_pca64_a100,70.97190732725059,80.18721570793991,-4.044386383857771,-0.08178441338177758,-0.034497726723885715
2023-12-21,25970,708,front,PM2.5,log1p,ridge,64.0,1000.0,front_log1p_pca64_a1000,71.00630564958186,80.21182901395602,-4.0474835878151785,-0.08208743438620461,-0.03511545726762422
