split_mode,feature_set,model,target,R2,RMSE,MAE,train_rows,test_rows,seed,train_frac
random,baseline,train_mean,PM2.5,-0.00047885758054633243,46.41246720303736,31.741156289685616,21246,5312,42,0.8
random,baseline,previous_sequence_persistence,aqi,0.9388266936313426,26.673131000107293,11.571581083566725,21246,5312,42,0.8
random,T7_tabular_only,random_forest,aqi,0.8131625414406334,46.6149256994305,26.200166609307264,21246,5312,42,0.8
random,T7_tabular_plus_road,random_forest,aqi,0.7799476019157192,50.58899753974211,30.299832030804303,21246,5312,42,0.8
random,T7_tabular_plus_road,extra_trees,aqi,0.7409880477901932,54.88490582368267,33.98025078199971,21246,5312,42,0.8
random,T7_tabular_plus_road,hist_gradient_boosting,aqi,0.7362993332414242,55.37944954458919,34.30299686625886,21246,5312,42,0.8
random,T7_tabular_only,extra_trees,aqi,0.7322926226267157,55.798585601673736,34.92467957560694,21246,5312,42,0.8
random,T7_tabular_only,hist_gradient_boosting,aqi,0.730410585275088,55.994379793071495,33.77526422765027,21246,5312,42,0.8
random,T7_tabular_plus_yolo_plus_road,random_forest,aqi,0.7270785932244233,56.33934859831439,35.40217921217872,21246,5312,42,0.8
random,T7_tabular_plus_yolo_plus_road,hist_gradient_boosting,aqi,0.7232647317074216,56.73163188282381,35.30294953743687,21246,5312,42,0.8
random,T7_tabular_plus_yolo,random_forest,aqi,0.7173430044920475,57.335405700937365,35.81321209262903,21246,5312,42,0.8
random,T7_tabular_plus_yolo,hist_gradient_boosting,aqi,0.7088016408764986,58.195242527715294,35.77016490962098,21246,5312,42,0.8
random,T7_tabular_plus_yolo_plus_road,extra_trees,aqi,0.6615943301882581,62.73527934310804,41.16190083134275,21246,5312,42,0.8
random,T7_tabular_plus_yolo,extra_trees,aqi,0.6525785335410934,63.565482116985336,41.40825466995274,21246,5312,42,0.8
random,T7_road_only,random_forest,aqi,0.2260740647248939,94.8730190811632,70.09477218981962,21246,5312,42,0.8
random,T7_road_only,hist_gradient_boosting,aqi,0.2211225729951054,95.17602869051741,69.09715245697465,21246,5312,42,0.8
random,T7_road_only,extra_trees,aqi,0.21677940976710575,95.44101928143806,69.88401151261301,21246,5312,42,0.8
random,T7_tabular_plus_yolo_plus_road,ridge,aqi,0.21534114913987856,95.52861024976575,67.86743259537312,21246,5312,42,0.8
random,T7_tabular_plus_yolo,ridge,aqi,0.19922414081609208,96.50470928239633,68.16329240794096,21246,5312,42,0.8
