feature_set,model,target,R2,RMSE,MAE,train_rows,test_rows
OSM_only,random_forest,PM2.5,-1.1391671285877005,9.732335871683025,8.89867640807984,144,62
sensor_context_only,ridge,PM2.5,-1.2223432413366075,9.919740211245099,7.827409788180227,144,62
sensor_context_only,random_forest,PM2.5,-1.6015236632421135,10.73269086460892,9.547949424564642,144,62
baseline,train_mean,PM2.5,-1.8736969890224677,11.280158879751545,10.487863513908602,144,62
engineered_all_plus_resnet50,extra_trees,PM2.5,-1.9927280245185397,11.511405575110707,10.485511554210763,144,62
engineered_all_without_resnet,random_forest,PM2.5,-2.1107885258257797,11.736266817826627,10.557275267692493,144,62
resnet50_only,extra_trees,PM2.5,-2.4122900816250348,12.2918627442784,11.26809492287648,144,62
engineered_all_plus_resnet50,random_forest,PM2.5,-2.937912738322874,13.20467675478321,12.168732514513215,144,62
resnet50_only,random_forest,PM2.5,-3.1781985412416205,13.601577072423945,12.565073797158071,144,62
engineered_all_without_resnet,ridge,PM2.5,-3.287699882960773,13.778657975848203,11.438104676904558,144,62
engineered_all_plus_resnet50,ridge,PM2.5,-3.7471492586579203,14.498102761155968,11.498164457274678,144,62
vehicle_IDD_only,ridge,PM2.5,-3.8743422347915057,14.69104670408137,12.24103929719985,144,62
resnet50_only,ridge,PM2.5,-4.223340881818123,15.20788833019332,12.267381494892035,144,62
